Title,Ingredients,Instructions,Link
Italian Stuffed Peppers,"4 large red bell peppers, 2 teaspoons extra virgin olive oil, 1 lb ground chicken or turkey, 2 teaspoons italian seasoning, 1 teaspoon garlic powder, 1/2 teaspoon kosher salt, 1/4 teaspoon red pepper flakes, 15 oz no salt added diced tomatoes with juice, 1 1/2 cups cooked brown rice, 1 cup shredded mozzarella or provolone, 1/2 cup parmesan, 2 tablespoons chopped fresh basil","Preheat your oven to 375 degrees F. Lightly coat a 9×13-inch baking dish with nonstick spray. Slice the bell peppers in half from top to bottom. Remove the seeds and membranes then arrange cut side up in the prepared baking dish.
Heat the olive oil in a large, nonstick skillet over medium high heat. Add the chicken, Italian seasoning, garlic powder, salt, and red pepper flakes. Cook, breaking apart the meat, until the chicken is browned and cooked through, about 4 minutes. Drain off any excess liquid, then pour in the can of diced tomatoes and their juices. Let simmer for 1 minute.
Remove the pan from the heat. Stir in the rice (or farro) and ½ cup of the Mozzarella and ¼ cup of the parmesan. Mound the filling inside of the peppers, then top with the remaining cheeses.
Pour a bit of water into the pan with the peppers—just enough to barely cover the bottom of the pan. Bake uncovered for 30 to 35 minutes, until the peppers are tender and the cheese is melted. Top with fresh basil. Serve hot.",https://www.wellplated.com/italian-stuffed-peppers/
Ground Turkey Stuffed Peppers,"4 green bell peppers cut in half and seeds removed, 2 tablespoons olive oil, 1 lb ground turkey, 1 teaspoon salt (or to taste), 1/2 teaspoon black pepper, 2 teaspoons garlic powder, 1 teaspoon dried oregano,1/4 teaspoon red pepper flakes (optional), 1/4 yellow onion diced, 1 1/4 cups basmati or jasmine rice rinsed, 2 tablespoons nutritional yeast, 2 cups veggie or chicken broth, 1 cup water, 14 oz crushed tomatoes, 2 oz baby spinach","Preheat oven to 400 degrees and grab a deep baking dish (I recommend a 9×12 or 9×13 size). Slice the bell peppers in half, remove the insides, and cover the outsides with 1 tbsp of olive oil and a few sprinkles of salt. Place the peppers in the baking dish and transfer to the oven for 30-40 minutes to soften.
Meanwhile, heat the remaining olive oil in a large skillet over medium heat. Add the ground turkey and brown all over to cook completely, breaking it apart into small pieces. Add the salt, black pepper, garlic powder, oregano, and red pepper flakes and fully coat.
Remove the turkey from the skillet and set aside. In the same pan add in the yellow onion and sauté for about 5 minutes to soften. Add the rice and stir to combine, then mix in the nutritional yeast and a few sprinkles of salt.
Pour in the broth, water, and crushed tomatoes, stir to combine and cover the skillet. Cook for 20-25 minutes, stirring halfway through, to fully cook the rice.
Stir in the baby spinach and wilt down, then add back the ground turkey.
Fill each of the 8 bell pepper halves with the turkey and rice mix. Be sure to stuff as full as possible to use up all of the mix, but you may have some leftover (feel free to enjoy separately!).
Transfer back to the oven for 5-10 minutes to reheat everything, top with additional nutritional yeast if desired, then serve immediately for best results.",https://jenneatsgoood.com/ground-turkey-stuffed-peppers/
The Best Stuffed Bell Pepper With Ground Beef,"1 lb lean ground beef (90% lean), 4 mushrooms chopped, 3 ears of fresh corn kernals or 1 1/2 cups frozen corn, 2 ribs of celery chopped thinly, 1 medium onion chopped, 2 cloves garlic minced, 29 oz petite diced tomatoes with juice, 2 tablespoons concentrated tomato paste, 2 tablespoons concentrated tomato paste, 2 tablespoon oregano, 1/2 teaspoon red pepper flakes, kosher salt and freshly ground black pepper (to taste), 1 1/2 cups cooked long grain rice, 1/4 cup chopped italian parsley, 6 bell peppers, 1 cup shredded fontina cheese or monterey jack cheese","Preheat the oven to 350 degrees F.
Brown the ground beef in a large fry pan over medium high heat for 5 minutes or until cooked almost through. Add the mushrooms, corn kernals, chopped celery, onion and garlic and cook until vegetables are softened. Stir in the diced tomatoes, tomato paste, basil, oregano and red pepper flakes. Season with kosher salt and ground pepper to taste and cook for 15-20 minutes. Stir in cooked rice and chopped parsley and cook for another 5 minutes or until the rice is warmed through.
Meanwhile, cut off the tops of the peppers and spoon out the ribs and seeds, then rinse. Lightly sprinkle the inside of the peppers with kosher salt and place in a microwave safe dish with ¼ cup water. Cover with plastic wrap and microwave for 5 minutes or until they start to soften.
Transfer to a 3 quart baking dish and fill the peppers with the hot meat and rice mixture. Sprinkle the tops with cheese and bake for 20 minutes or until peppers are tender and cheese is browned. Serve hot.",https://www.foodiecrush.com/stuffed-bell-peppers-recipe/
Libby's Famous Pumkin Pie,"3/4 cup granulated sugar, 1/2 teaspoon salt, 1 teaspoon ground cinnamon, 1/2 teaspoon ground ginger, 1/4 teaspoon ground cloves, 2 large eggs,15 oz can libby's 100% pumpkin puree,12 oz can carnation evaporated milk, 1 unbaked 9-inch deep dish pie pastry, whipped cream (optional","Note: Substitute 1-3/4 teaspoons pumpkin pie spice instead of cinnamon, ginger, and cloves; the taste will be slightly different.
Preheat oven to 425 degrees Fahrenheit.
Mix sugar, salt, cinnamon, ginger, and cloves in small bowl.
Beat eggs in large bowl.
Stir in pumpkin and sugar-spice mixture.
Gradually stir in evaporated milk.
Pour mixture into pie shell.
Bake at 425 degrees Fahrenheit for 15 minutes.
Reduce temperature to 350 degrees Fahrenheit.
Bake for 40 to 50 minutes or until knife inserted near center comes out clean.
Cool on wire rack for 2 hours.
Serve immediately or refrigerate.
Top with whipped cream before serving for best results!
Do not overcook; overcooking leads to pie cracking in the middle.
Try to bake the day you will serve the pie. Cooking in advance can make the crust soggy. If you have to bake a day before serving, pop the pie in the oven for 5 to 10 minutes and it should bring the crust back to life!",https://www.food.com/recipe/libbys-famous-pumpkin-pie-101104
Easy Pumkin Puree,"1 small baking pumpkin, fine see salt (optional)","Preheat the oven to 400°F (204°C). Line a baking sheet with parchment paper.

2Rinse and pat dry the pumpkin. Cut one side of the pumpkin from the stem down to the bottom of the pumpkin, but don’t try to cut through the stem (it’s too hard). Remove the knife, rotate the pumpkin to the opposite side, then do the same. When there is a slit down both halves of the pumpkin, put down the knife and pull the halves apart. They should separate at the stem.

3Scoop out the seeds and most of the stringy bits. Lightly season the inside of the pumpkin halves with salt, then place cut side down onto the baking sheet.

4Bake until the pumpkin until the pumpkin is easily pierced with a knife in several places, and the flesh pulls away from the skin, 45 to 60 minutes.

5Cool until you can safely handle the halves, then scoop the soft flesh into a food processor. Depending on your pumpkin size, you may need to do this in two batches.

6Process until very smooth, 3 to 5 minutes.",https://www.inspiredtaste.net/35527/easy-pumpkin-puree-recipe/
Perfect Pumkin Pie,"1 homemade pie crust or 9-inch deep-dish frozen pie crust shell (thawed), 15 oz can pure pumpkin (about 1 3/4 cups), 1 Large egg, 3 large eggs yolks, 1/2 cup granulated sugar, 1/2 cup light brown sugar packed, 2 tablespoons all-purpose flour, 1/2 teaspoon salt, 1 teaspoon salt, 1 teaspoon ground cinnamon, 1 teaspoon ground ginger, 1/2 teaspoon ground nutmeg, 1/8 teaspoon ground cloves,1/8 teaspoon ground balck pepper, 1 1/4 cups evaporated milk","Blind Bake the Crust
For homemade crust: Roll out the dough and gently fit it into a (9-inch) deep-dish pie pan, ensuring it's snug against the pan's edges and bottom. Chill in the refrigerator for at least 30 minutes. Meanwhile, preheat the oven to 375°F and set an oven rack in the middle position. Remove the chilled pie crust from the refrigerator and place it on a baking sheet (this makes it easy to move in and out of the oven). Cover the crust with a piece of parchment paper and fill about three-quarters full with dried beans or pie weights. Bake for 20 minutes. Take the crust out of the oven; remove the parchment paper and beans/pie weights and tent the edges with a few strips of foil folded in half lengthwise (this will protect the edges from getting too dark). Bake for another 15 to 20 minutes, until the dough is dry and lightly golden. Don't worry if the bottom puffs up; just press it down gently with a flat spatula, such as a pancake turner, taking care not to puncture it. Remove the foil but don't throw it away; you may need it again.
For frozen crust: Follow the instructions for blind-baking on the package.
After blind-baking the crust, reduce the oven temperature to 325°F.
Make the Filling
In a large bowl, combine the pumpkin, egg, egg yolks, granulated sugar, brown sugar, flour, salt, cinnamon, ginger, nutmeg, cloves, pepper, and evaporated milk. Whisk until smooth, then pour the filling into the pre-baked crust.
Bake the pie for 50 to 60 minutes (at 325°F), until the filling is just set. It should look dry around the edges, but the center should jiggle just slightly if you nudge the pan. Keep a close eye on the pie as it bakes; if ever the crust looks like it's browning too quickly, tent the edges with foil strips. Let the pie cool on a rack (leave it on the baking sheet) to room temperature, a few hours. Slice or refrigerate until ready to serve.
Make Ahead: Pumpkin pie can be made one day ahead of time and refrigerated.
Freezer-Friendly Instructions: The dough can be made ahead, wrapped in plastic, and refrigerated for up to 2 days, or frozen for up to 1 month. If you freeze it, thaw it overnight in the refrigerator. The pie can be frozen after baking for up to 1 month. After it is completely cooled, double-wrap it securely with aluminum foil or plastic freezer wrap, or place it in heavy-duty freezer bag. Thaw overnight in the refrigerator before serving.",https://www.onceuponachef.com/recipes/perfect-pumpkin-pie.html
Pumkin Cookies,"1 cup butter softened, 2/3 cup paked brown sugar, 1/3 cup sugar, 1 large egg, 1 teaspoon vanilla extract, 1 cup canned pumkin, 2 cups all-purpose flour, 1 1/2 teaspoon ground cinnamon, 1 teaspoon baking soda, 1/2 teaspoon salt, 1/4 teaspoon baking powder, 1 cup chopped walnuts, FROSTING, 1/4ncup butter softened, 4 oz cream cheese softened, 2 cups confectioner's sugar, 1 1/2 teaspoon vanilla extract","In a large bowl, cream butter and sugars until light and fluffy. Beat in egg and vanilla. Add pumpkin; mix well. Combine the flour, cinnamon, baking soda, salt and baking powder; gradually add to creamed mixture and mix well. Stir in walnuts.
Drop by rounded tablespoonfuls 2 in. apart onto greased baking sheets. Bake at 350° for 8-10 minutes or until edges are lightly browned. Remove to wire racks to cool completely.
In a small bowl, beat the frosting ingredients until light and fluffy. Frost cookies. Store in an airtight container in the refrigerator.",https://www.tasteofhome.com/recipes/pumpkin-cookies-with-cream-cheese-frosting/
Pumkin Drop Cookies,"1/2 cup butter or margarine softened, 3/4 granulated sugar,3/4 cup packed brown sugar, 2 eggs, 15 oz canned pumpkin, 2 1/2 cups gold medal all-purpose flour,2 1/2 teaspoons baking powder, 1 teaspoon baking soda, 1 teaspoon salt, 1 teaspoon ground cinnamon, 1/4 teaspoon ground allspice, 1/4 teaspoon ground nutmeg, 1 cup raisins","Heat oven to 375°. Grease cookie sheet with shortening. Mix butter and sugars in large bowl with spoon. Beat in eggs. Stir in pumpkin. Stir in remaining ingredients except raisins. Fold in raisins.

Drop dough by tablespoonfuls about 2 inches apart onto cookie sheet.

Bake 10 to 12 minutes or until set and golden. Cool 1 to 2 minutes; remove from cookie sheet to wire rack.",https://www.bettycrocker.com/recipes/pumpkin-drop-cookies/0098c652-0203-440c-a15d-97914bc5c591
Pumpkin Cornbread Drop Biscuits,"1 cup whole-wheat flour, 1/2 cup cornmeal, 1 teaspoon baking powder, 1/4 teaspoon baking soda, 1 teaspoon ground cinnamon, 1/8 teaspoon cayenne (optional), 1 teaspoon salt, 6 tablespoons salted butter, 1/2 cup pumkin puree, 1/4 cup maple syrup, 1 tablespoon whole-fat greek yogurt","Preheat oven to 425°F.
Into a 24-cup mini muffin tin or on a rimmed baking sheet (spaced about 1 1/2 inches apart), drop heaping tablespoon-size balls of the dough. Bake for 10-12 minutes, or until golden brown on top.
Remove from oven and allow to cool 5 minutes.",https://www.popsugar.com/food/pumpkin-cornbread-drop-biscuits-recipe-42625466
The Best Snickerdoodle Cookie,"1 cup unsalted butter softened, 1 1/2 cups sugar, 2 large eggs, 2 teaspoons vanilla, 2 3/4 cups flour, 1 1/2 teaspoon cream of tartar (for less tang, use 1 teaspoon), 1/2 teaspoon baking soda, 3/4 teaspoon salt, CINNAMON-SUGAR MIXTURE, 1/4 cup sugar, 1 1/2 tablespoons cinnamon","Preheat oven to 350 degrees.
In a large mixing bowl, cream butter and sugar for 4-5 minutes until light and fluffy.  Scrape the sides of the bowl and add the eggs and vanilla. Cream for 1-2 minutes longer. 
Stir in flour, cream of tartar, baking soda, and salt, just until combined. 
In a small bowl, stir together sugar and cinnamon. 
If time allows, wrap the dough and let refrigerate for 20-30 minutes.  Roll into small balls until round and smooth.  Drop into the cinnamon-sugar mixture and coat well. Using a spoon, coat for a second time, ensuring the cookie balls are completely covered.  *To make flatter snickerdoodles, press down in the center of the ball before placing in the oven. This helps to keep them from puffing up in the middle. *
Place on a parchment paper-lined baking sheet. Bake for 9-11 minutes.  Let cool for several minutes on baking sheet before removing from the pan.  ",https://www.modernhoney.com/the-best-snickerdoodle-cookie-recipe/
Soft Snickerdoodle Cookies,"1 cup butter softened, 1 1/12 cups sugar, 2 large eggs, 2 3/4 cups flour, 2 teaspoons cream of tartar, 1 teaspoon baking soda, 1/4 teaspoon salt, 3 tablespoons sugar, 3 tablespoons cinnamon, 1 teaspoon vanilla extract","Preheat oven to 350°F.
Mix softened butter, 1 1/2 cups sugar, 1tps of vanilla extract and eggs thoroughly in a large bowl.
Combine flour, cream of tartar, baking soda and salt in a separate bowl.
Blend dry ingredients into butter mixture.
Chill dough, and chill an ungreased cookie sheet for about 10-15 minutes in the fridge.
Meanwhile, mix 3 tablespoons sugar, and 3 teaspoons cinnamon in a small bowl.
Scoop 1 inch globs of dough into the sugar/ cinnamon mixture.
Coat by gently rolling balls of dough in the sugar mixture.
Place on chilled ungreased cookie sheet, and bake 10 minutes.
Remove from pan immediately.",https://www.food.com/recipe/soft-snickerdoodle-cookies-97496
Snickerdoodle Cookies,"3 cups all-purpose flour, 2 teaspoons cream of tartar, 1 teaspoon kosher salt, 3/4 teaspoon baking soda, 1 cup unsalted butter (room temperature), 1 1/2 cups granulated sugar (divided), 2 large eggs, 1 teaspoon pure vanilla extract, 1 tablespoon ground cinnamon","Step 1
In a medium bowl, whisk flour, cream of tartar, salt, and baking soda until combined. In a large bowl, using a handheld mixer on medium-high speed, beat butter and 1 1/4 cups sugar until creamy. Add eggs, one at a time, beating to blend after each addition. Beat in vanilla. Add dry ingredients and beat on low speed until just combined. Cover and refrigerate until chilled, at least 1 hour or up to overnight. 
Step 2
Preheat oven to 350°. Line 2 baking sheets with parchment. In a small bowl, whisk cinnamon and remaining 1/4 cup sugar.
Step 3
Using a medium cookie scoop (about 2 tablespoons), scoop dough and roll into balls. Toss balls in cinnamon sugar and arrange on prepared sheets, spacing 2"" apart. 
Step 4
Bake cookies until puffed and edges are just set, 10 to 12 minutes. Let cool on baking sheet 5 minutes, then transfer to a wire rack and let cool completely.",https://www.delish.com/cooking/recipe-ideas/a22004581/easy-snickerdoodle-cookie-recipe/
